title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,pub_date_source,rss_pub_date,rss_published_str
Critical transition of urban ozone formation regime in the North China Plain,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf596/8408452?rss=1,National Science Review Advance Access,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,10.1093/nsr/nwaf596/8408452,"Over the past decade, China has achieved remarkable progress in mitigating the aerosol pollution. However, ozone (O3) pollution still shows a worsening trend, implying that China’s control measures may have been less effective in tackling O3 pollution. Herein, we conduct synchronized observations of O3 and its precursors across 37 cities in the heavily polluted North China Plain (NCP) during the summer of 2021 and apply a unified observation-based model to diagnose O3 formation mechanisms. Our results reveal a significant transition in urban O3 formation regime, shifting from primarily VOC-limited to VOC–NOx co-limited across the NCP between 2010s and 2020s. Notably, the primary VOC species, their respective sources, and the optimal VOCs/NOx reduction ratios exhibit remarkable regional consistency. Modeling analyses further indicate that long-term national “Carbon Neutrality” strategy could effectively alleviate O3 pollution, with targeted VOC emission reductions from major anthropogenic sources offering the greatest mitigation potential. These findings underscore the efficacy of China’s endeavors in mitigating O3 pollution, although the effects are not immediately evident from ambient O3 concentrations. O3 pollution control in Chinese cities has reached a critical inflection point, offering considerable flexibility and feasibility in formulating future control policies.",rss_oup,False,,,,
A physics-informed machine learning method for short-term solar radiation forecast with satellite-derived cloud optical depth,https://www.sciencedirect.com/science/article/pii/S0306261925020148?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Halving global ammonia emissions with cost-effective measures,https://www.nature.com/articles/s41893-025-01723-5,Nature Sustainability,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"Excess ammonia (NH3) emissions from human activities pose severe threats to global ecosystems and human health. Although urgent control of NH3 emissions is needed, a comprehensive quantification of mitigation strategies and their cost-effectiveness is lacking on a global scale. Here we employ a multi-model framework to evaluate 32 mitigation measures across 7 sectors in 185 countries. Our analysis reveals that strategic implementation of technological and non-technological (policy and behavioural) measures could reduce global NH3 emissions by up to 60% at an average cost of US$7.4 per kilogram of NH3. The estimated implementation cost of US$274 ± 116 billion is far outweighed by the resulting environmental, health and resource benefits, which we indicatively estimate at US$722 ± 302 billion. Priority action in China and India could yield the largest net gains, whereas Sub-Saharan Africa faces limited cost-effectiveness owing to structural and economic barriers. Future scenarios indicate that ambitious implementation pathways could halve NH3 emissions by 2050, whereas weak climate action and inadequate nitrogen regulations would drive continued emission growth, leading to substantial environmental deterioration. These findings highlight both the feasibility and urgency of integrating NH3 control into multi-objective policies for food security, air quality and sustainable development.",nature_html,False,,,,
"A review on modeling, simulation and experiment of dynamic wake effect of floating offshore wind turbines",https://www.sciencedirect.com/science/article/pii/S0306261925020136?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
A protease repurposed for thiotemplated amide synthesis,https://www.cell.com/chem/fulltext/S2451-9294(25)00506-6?rss=yes,Chem,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"In this issue of Chem, Hertweck, Groll, and co-workers characterize an amide-forming ligase central to closthioamide biosynthesis: CtaG. They provide a mechanistic and structural explanation for how CtaG repurposes a protease-like active site to catalyze amide-bond formation between two carrier protein-bound substrates.",rss_cell,False,,,,
Efficient power system corrective control with adaptive operation condition handling: A GATN-RL based method,https://www.sciencedirect.com/science/article/pii/S0306261925020045?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Generative modeling for mid-term probabilistic load forecasting based on latent diffusion,https://www.sciencedirect.com/science/article/pii/S0306261925020033?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Matching daily wind speed patterns with grid demand: An offshore wind assessment framework integrating source-load similarity and resource abundance,https://www.sciencedirect.com/science/article/pii/S030626192502001X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Increasing the sustainability of buildings by using thermal energy storage,https://www.nature.com/articles/s44359-025-00123-4,Nature Reviews Clean Technology,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"The final energy consumption of the built environment depends on the mismatch between its instantaneous energy demand and the energy supplied by on-site sources: buildings need to be cooled when there is abundant environmental heat and heated when the surrounding environment is cold. Thermal energy storage (TES) can help to reduce the global warming potential of buildings by storing environmental, renewable or waste heat for later use when heating is needed. In this Review, we assess the economic, environmental and social aspects of TES technologies. TES tanks require high charging and discharging power, calling for the development of new heat exchangers and storage media, such as phase-change materials. Integrating TES into local energy communities could reduce energy costs and lower the emissions caused by space and water heating, but challenges remain: price volatility and the deployment of longer-term thermochemical TES for seasonal storage, for example. The efficiency of TES operation could be increased by using advanced control systems, including artificial intelligence techniques. With the development of increasingly complex systems for TES, we highlight the importance of circular design thinking and end-user engagement in optimizing the development and deployment of future TES systems.",nature_html,False,,,,
Large-scale modeling of solar water pumps using machine learning,https://www.sciencedirect.com/science/article/pii/S0306261925019981?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Short-term regional EV charging load forecasting based on GAT and GRU with trip distribution estimation,https://www.sciencedirect.com/science/article/pii/S0306261925019920?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Co-combustion of ammonia in coal-fired power plants in ASEAN,https://www.sciencedirect.com/science/article/pii/S0301421525005579?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Profitability and scalability for waste-to-energy supply chains,https://www.sciencedirect.com/science/article/pii/S0306261925017805?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Variable valve actuation (VVA) for next-generation marine and off-road engines: a comprehensive review for meeting future emissions legislation,https://www.sciencedirect.com/science/article/pii/S030626192501863X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
"Hysteresis and integrity in multiphase hydrogen storage: a review of flow, rock, and monitoring challenges",https://www.sciencedirect.com/science/article/pii/S0306261925019373?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Long-wavelength photocatalysis enabled by an in-situ-assembled manganese platform,https://www.cell.com/chem/fulltext/S2451-9294(25)00507-8?rss=yes,Chem,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"Advances in long-wavelength photocatalysis have drawn significant attention within organic synthesis. In this issue of Chem, Niu and co-workers describe a manganese-based long-wavelength photocatalytic platform that mediates alkene oxygenation and nitrogenation through a modular in situ assembly approach. The utility of this platform is demonstrated by its wide substrate scope, scalability, and efficient late-stage functionalization.",rss_cell,False,,,,
Designing physically separated bimetallic catalysts through cooperative redox enhancement (CORE),http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D4CS00479E,RSC - Chem. Soc. Rev. latest articles,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"Liquid-phase heterogeneous catalysis underpins numerous chemical manufacturing processes, ranging from essential products to renewable energy sources, such as hydrogen. Despite the differences in reactor setups and the driving forces between thermos- and electro-catalysis, it is commonly overlooked that the two disciplines are fundamentally governed by the same underlying fundamentals. In this tutorial review, we explore the similarities between electro- and thermocatalysis and introduce how electrochemical methodologies can be applied to characterize thermocatalysis to gain both fundamental and experimental insights. Here, we discuss the recent discovery of Cooperative Redox Enhancement (CORE), a phenomenon whereby selectivity differences for two electrochemical half reactions on two physically separated but electrochemically connected dissimilar metal catalyst particles lead to acceleration of the overall catalytic rate. This approach suggests a new paradigm for the design of heterogeneous catalysis.",rsc_html,False,,,,
A fully packaged cryogenic optical transmitter directly interfaced with a superconducting chip,https://www.nature.com/articles/s41928-025-01505-z,Nature Electronics,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"The development of quantum and superconducting computer applications requires high-bandwidth and energy-efficient readout interfaces that can connect superconducting integrated circuits with a room-temperature environment. However, electrical and optical interconnect approaches involve extra amplification stages due to the low outputs of the superconducting circuits, which make them complicated, difficult to scale and a source of heat leakage. Here we describe a single-chip electronic–photonic transmitter that is driven directly by superconducting electronics and is fabricated using a commercial complementary metal–oxide–semiconductor foundry process. A laser-forwarded coherent-link architecture enables the transmitter to be directly driven at 4 K by a superconducting integrated circuit with only millivolt-level voltage swing and at a bit error rate of under 1 × 10−6. The energy efficiency of the link, at a temperature of 4 K and a laser power split ratio of 10/90, is 673 fJ per bit.",nature_html,False,,,,
Innovations and prospects on functional membrane design for advanced redox flow batteries,https://www.sciencedirect.com/science/article/pii/S030626192502046X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Halogen bonding in functional chiral systems,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS00938C,RSC - Chem. Soc. Rev. latest articles,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"The halogen bond (XB) is a directional noncovalent interaction formed between a halogen atom acting as an electrophilic site and a Lewis base. In recent years, it has shown great potential in the design of functional chiral systems. Due to its tunable interaction strength and pronounced directionality, the XB is becoming a powerful tool for constructing and controlling chirality at both molecular and supramolecular levels. In functional chiral systems, XBs are widely employed to induce, amplify, and transfer chirality, primarily arising from the directionally anisotropic electronic distribution on the surfaces of iodine, bromine, or chlorine atoms. This strategy enables precise construction and stereocontrol of chiral molecular assemblies, asymmetric catalysts, and chiroptical materials. In this review, we first discuss the fundamental properties of XBs and introduce several unconventional types of XBs to stimulate readers’ interest. Subsequently, we summarize the latest research progress in XB-based crystal engineering, chiral recognition and separation, chiroptical materials, and supramolecular assemblies. Various XB-mediated asymmetric catalytic systems are also examined, with particular attention paid to their reaction mechanisms and catalyst design strategies. Undoubtedly, living organisms are multilevel chiral systems–from individual protein molecules to large and complex biological structures–thus, this review also explores the potential roles of XBs in biological and biomimetic systems. Finally, we provide a summary and outlook on the current research status, existing challenges, and future opportunities of XBs in functional chiral systems. Through these discussions, this review aims to inspire further exploration of XBs in chiral systems, opening new avenues for supramolecular chemistry, asymmetric synthesis, catalysis, and the development of advanced chiroptical materials.",rsc_html,False,,,,
A Non-destructive UV Raman Characterisation Platform to Enable Insight into the Mechanism of Reversible Ultraviolet-Induced Degradation (UVID) in TOPCon Solar Cells,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05078B,RSC - Energy Environ. Sci. latest articles,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"Ultraviolet light-induced degradation (UVID) has been reported across mainstream highefficiency Silicon (Si) solar cell architectures, including heterojunction (HJT), passivated emitter and rear cell (PERC) and tunnel oxide passivated contact (TOPCon) solar cells, causing up to 10% efficiency loss after continuous exposure to high UV doses.Encouragingly, this degradation has also been reported to be recoverable under certain conditions, such as light soaking. However, in the absence of a clear mechanistic understanding of both the degradation and recovery process, current testing protocols and stability metrics fall short of capturing the true UV resilience of these devices. Establishing a fundamental understanding of UVID is therefore critical for developing more predictive testing frameworks and durable cell architectures under real-world operating conditions. In this work, we demonstrate that the UVID of TOPCon silicon solar cells can be effectively recovered using light soaking in the first place. The recoverable macroscopic cell performance is subsequently found correlated with two reversible changes at the materials level: front surface reflectance by optical transmission of SiNx and a Boron-doped Si Raman peak by UV Raman spectroscopy. With further atom probe tomography (APT) investigation and theoretical modeling, the mechanisms of this reversible UVID and light soaking induced recovery (LSIR) process are identified. The elucidation of the reversible UVID mechanism at the atomic level directly informs the development of effective mitigation strategies. We demonstrate that the synchronous use of a thick AlOx film and a low Si:N ratio SiNx layer can improve the UVID resistance of TOPCon solar cells. Moreover, the non-destructive material level characterisation platform established in this work enables effective capture of the degree of UVID resistance in the design of durable TOPCon solar cells with the potential of in-line quality control.",rsc_html,False,,,,
The marketization of green electricity trading and investment decisions of new energy enterprises,https://www.sciencedirect.com/science/article/pii/S0301421525005440?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
"Geopolitical fragmentation and energy transition inequalities: Climate policy uncertainty, sanctions, and the oil and gas sector",https://www.sciencedirect.com/science/article/pii/S0301421525005555?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Recent research progress of 4D-STEM from methodology to application in materials science,https://www.sciencedirect.com/science/article/pii/S1369702125005528?dgcid=rss_sd_all,ScienceDirect Publication: Materials Today,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
A method for chiller performance modeling via SKR-based neural network under physical constraints,https://www.sciencedirect.com/science/article/pii/S0306261925020653?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Evolutionary convergence and divergence of hippocampal cytoarchitecture between rodents and primates revealed by single-cell spatial transcriptomics,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf595/8408467?rss=1,National Science Review Advance Access,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,10.1093/nsr/nwaf595/8408467,"The hippocampus comprises subregions of distinct cell types critical for memory and cognition, but their gene expression profiles and spatial distribution patterns remain to be clarified. Using single-cell spatial transcriptomic analysis and single-nucleus RNA sequencing, we obtained transcriptome-based atlases for the macaque, marmoset, and mouse hippocampus. Cross-species comparison revealed primate- and lamina-specific glutamatergic cell types in the subicular complex, as well as enrichment of VIP",rss_oup,False,,,,
Allocation equality of battery replacement subsidy for electric buses: Evidence from provinces and cities in China,https://www.sciencedirect.com/science/article/pii/S0301421525005129?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
The electric vehicle transition and vanishing fuel tax revenues,https://www.nature.com/articles/s41893-025-01721-7,Nature Sustainability,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"As electric vehicle adoption accelerates globally, fuel tax revenues decline, exposing government budgets without a proposed replacement tax on electric vehicles. We estimate fuel tax transition exposure across 168 countries, demonstrating that relative exposure, in percentage of total government revenues, varies substantially by income level. Our analysis finds that global public revenues from fuel taxes totalled approximately US$900 billion in 2023. Crucially, we show that lower-income countries face disproportionately high exposure, experience frequent debt crises and possess limited institutional capacity to respond, potentially necessitating international support.",nature_html,False,,,,
Stepwise-controllable catalytic asymmetric Atherton–Todd reaction to access diverse P(V)-stereogenic compounds,https://www.nature.com/articles/s41557-025-02025-1,Nature Chemistry,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"The Atherton–Todd (A–T) reaction has long been regarded as a cornerstone method for synthesizing a wide array of phosphorus(V) compounds. However, despite its vast synthetic potential, achieving precise stereocontrol in this transformation remains a challenge. Here we present the highly efficient and direct asymmetric A–T reaction, using biomimetic peptide–phosphonium salt catalysts to enable the stepwise and precise synthesis of a diverse array of phosphorus(V)-based scaffolds. We demonstrate the efficient generation of three distinct stereogenic phosphorus(V) species—phosphoryl chlorides, phosphinates and phosphonates—while maintaining exceptional functional group compatibility and delivering outstanding enantioselectivity. Our mechanistic studies, complemented by density functional theory calculations, uncover the ability of the peptide–phosphonium salt catalysts to modulate the chiral environment, selectively recognizing and pre-assembling phosphorus substrates and/or nucleophilic species. This finely tuned chiral cavity facilitates a stepwise-controllable, enantioselective A–T reaction, providing an elegant strategy for the synthesis of stereochemically defined phosphorus ligands, bioactive molecules and oligonucleotides.",nature_html,False,,,,
Protecting skins of Au–Cl can stabilize Au nanostructures,https://www.nature.com/articles/s41557-025-02027-z,Nature Chemistry,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Biomimetic catalysis enables asymmetric Atherton–Todd reaction,https://www.nature.com/articles/s41557-025-02030-4,Nature Chemistry,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Global profiling of arginine reactivity and ligandability in the human proteome,https://www.nature.com/articles/s41557-025-02012-6,Nature Chemistry,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"Despite the crucial biological functions of arginine, its reactivity and ligandability within the human proteome remain largely unexplored. Here we apply activity-based protein profiling (ABPP) with phenylglyoxal-based chemical probes to map arginine reactivity globally. Screening phenylglyoxal derivatives identified a probe with enhanced coverage and selectivity, enabling quantification of 4,606 arginine sites across human cell lines. Among these, critical residues regulate liquid–liquid phase separation. Arginine reactivity was further assessed by on-beads reductive dimethylation proteomics, revealing a subset of hyper-reactive sites. Competitive fragment screening using data-independent acquisition ABPP (DIA-ABPP) generated a ligandability map of arginine residues across 60 dicarbonyl compounds. This dataset revealed ligandable arginines that modulate protein activity, in particular protein–protein interactions, highlighting potential covalent drug targets. Together, this work provides a proteome-wide profile of arginine reactivity and ligandability, offering insights into the functional landscape of arginines and expanding the scope of covalent drug discovery to include arginine-targeting molecules.",nature_html,False,,,,
Bringing biocatalysis into teaching labs,https://www.nature.com/articles/s41557-025-02032-2,Nature Chemistry,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Bridging the fuel tax revenue gap in the move to electric mobility,https://www.nature.com/articles/s41893-025-01712-8,Nature Sustainability,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Rational design of high-performance low-loading oxygen reduction catalysts for alkaline fuel cells,https://www.nature.com/articles/s41563-025-02422-4,Nature Materials,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"The lack of mechanistic understanding and catalyst design principles for alkaline electrolytes, especially for the sluggish oxygen reduction reaction, has impeded the advancement of alkaline fuel cells. Here we propose a modified volcano plot and apply this rationale to strategically design Pt nanosheets with PdHx nanosheets substrates. This catalyst exhibited high stability with a specific activity of 1.71 mA cm−2 at 0.95 V versus the reversible hydrogen electrode, surpassing the benchmark of Pt/C by 49-fold. Spectroscopic, electrochemical and electron microscopic characterizations revealed that such performance enhancement originated from tensile-strained Pt{111} facets, improving oxidative stability and suppressing carbon corrosion. In fuel cell testing, the catalyst enabled a peak power density of 1.67 W cm−2 with a loading of 10 µgPGM Cathode cm−2. Further optimization delivered a peak power density of 21.7 W mg−1PGM Cathode+Anode with a total specific catalyst cost US$1.27 kW−1, surpassing the US Department of Energy’s Pt group metal loading and cost targets. This study provides valuable insights into catalyst design for the alkaline oxygen reduction reaction.",nature_html,False,,,,
Negative pricing increases electricity use but challenges grid stability,https://www.nature.com/articles/s41560-025-01928-0,Nature Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Approaching the theoretical density limit of ultrahigh-nickel cathodes via cation-disorder-free 10-μm single-crystalline particles,https://www.nature.com/articles/s41560-025-01909-3,Nature Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"Single-crystalline layered oxides offer a promising solution to mitigate the rapid capacity decay observed in conventional polycrystalline nickel-rich oxide cathodes. However, achieving both morphological (large grain size) and structural (cation-disorder-free) control in single crystals remains challenging due to the trade-off between grain growth and phase stability, particularly at high-nickel contents. Here we report cation-disorder-free ultrahigh-nickel single-crystalline oxide cathodes with ~10-μm particle sizes, comparable to commercial secondary particles, that deliver high volumetric capacity and stable cycling. These single crystals withstand calendering and resist intra-granular cracking, achieving electrode densities of up to 77% of the theoretical crystal density. The improved stability is linked to reduced structural strain and modified glide behaviour due to the absence of cation disorder, emphasizing its critical role in chemomechanical behaviour. Additionally, gas evolution is reduced by a factor of 25, and the thermal onset temperature drops by more than 20 °C at ~4.5 V versus Li/Li+, underscoring superior safety features and energy density potential.",nature_html,False,,,,
Multi-scale wake modeling based on physics-informed neural networks and transfer learning,https://www.sciencedirect.com/science/article/pii/S0306261925020483?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
TOMATOES: Topology and material optimization for latent heat thermal energy storage devices,https://www.sciencedirect.com/science/article/pii/S0306261925020525?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Economic autonomous operation of microgrids on islands with renewable energy interactions: A satellite-aided over-the-air federated reinforcement learning approach,https://www.sciencedirect.com/science/article/pii/S0306261925020549?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,,,False,,,,
Construction of Zeolite‐Type Metal Sulfide “Ion Sieve” Into Electrospun Membranes for Ultrafast and Selective 137Cs+ Sequestration,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202521458?af=R,Wiley: Advanced Materials: Table of Contents,2026-01-02 05:55:27 UTC,2026-01-02 05:55:27+00:00,10.1002/adma.202521458,"Abstract
                  
                    Selective
                    137
                    Cs
                    +
                    sequestration is challenging due to its high solubility, environmental mobility, and the influence of excessive competitive ions. Herein, we demonstrate an effective strategy for Cs
                    +
                    separation by constructing zeolite‐type metal sulfide as “cesium ion sieve” (CIS), obtaining GaGeS‐1 with “ion‐sieving effect”. Its structure features a zeolite‐type metal sulfide framework with sodalite (SOD) topology based on supertetrahedral T2 clusters. GaGeS‐1 with radiation resistance possesses a maximum Cs
                    +
                    adsorption capacity of 332.52 mg/g and ultrafast adsorption kinetics with removal rate (
                    R
                    Cs
                    ) of 97.06% within 1.5 min. It achieves highly selective Cs
                    +
                    capture under excessive competing ions, even for actual industrial
                    137
                    Cs⁺‐liquid‐waste (
                    R
                    Cs
                    &gt; 90%). Single crystal structure analysis and density functional theory calculation reveal that “ion‐sieving” originates from strong Cs
                    +
                    ···S
                    2−
                    interaction, flexible‐robust framework, and optimal Cs
                    +
                    coordination in SOD cage. Furthermore, GaGeS‐1 is integrated with gelatin to fabricate GaGeS‐1/Gel nanofibrous electrospun membranes for a multi‐stage filtration system, enabling efficient, continuous, and recyclable treatment of mixed Na/Cs wastewater (3.58 L/m
                    2
                    ,
                    R
                    Cs
                    = 99.39%) and Cs
                    +
                    ‐contaminated river water (2.63 L/m
                    2
                    ,
                    R
                    Cs
                    = 99.23%). This study pioneers an efficient “CIS” by developing zeolite‐type metal sulfide, and provides a universal assembly method toward practical application, opening new insight into radiocesium remediation and advanced nuclear waste management.",crossref,False,,,,
