title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,similarity
Accelerating net-zero transition: Satellite insight reveals Decarbonization potential of coal-fired power plants,https://www.sciencedirect.com/science/article/pii/S0306261925020239?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2025-12-31 00:00:00 UTC,2025-12-31 00:00:00+00:00,,,,False,,
Two-layer coordinated operation of multi-energy system considering carbon-oriented collaborative pricing mechanism via two-stage stochastic programming approach,https://www.sciencedirect.com/science/article/pii/S0306261925020288?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2025-12-31 00:00:00 UTC,2025-12-31 00:00:00+00:00,,,,False,,
"Photoredox/Cobalt‐Catalyzed Asymmetric Radical Addition to Imines with Furanosyl 1,4‐Dihydropyridines to Access C‐Glycosyl Amino Esters",https://onlinelibrary.wiley.com/doi/10.1002/anie.202521583?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-31 07:02:30 UTC,2025-12-31 07:02:30+00:00,10.1002/anie.202521583,"Abstract
                  Chiral oxygen‐containing heterocycles, particularly tetrahydrofuran scaffolds are pivotal structures found in numerous bioactive molecules. Among them, furanoses constitute a highly important class. While C‐glycosylation with furanosyl donors offers a promising route to access these frameworks, methods for simultaneously constructing multiple stereogenic centers remain unknown. Herein, we report a synergistic photoredox/cobalt‐catalyzed enantioselective radical addition strategy to imines that employs bench‐stable furanosyl 1,4‐dihydropyridines (DHPs) as the radical precursors. This redox‐neutral protocol directly forges C‐glycosidic bonds at the challenging non‐anomeric position while concurrently establishing a new tetrasubstituted carbon stereocenter. The chiral cobalt catalyst effectively governs the stereochemistry of both the glycosidic bond and the new tetrasubstituted center, as evidenced by ligand control experiments. Furthermore, the method is generalizable to simple alkyl‐substituted DHPs, providing a versatile and complementary approach to synthesize amino esters and C‐glycosides with multiple stereogenic centers.",crossref,False,,
Unveiling the Mechanism of Photocatalytic CO2 Cycloaddition over Linker‐Engineered Metal‐Organic Frameworks,https://onlinelibrary.wiley.com/doi/10.1002/anie.202525369?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-31 07:15:33 UTC,2025-12-31 07:15:33+00:00,10.1002/anie.202525369,"Abstract
                  
                    Photocatalytic CO
                    2
                    cycloaddition represents a promising route for solar‐driven synthesis of value‐added C
                    2+
                    chemicals and simultaneously mitigating anthropogenic CO
                    2
                    emissions. However, the pivotal step of direct one‐electron reduction of CO
                    2
                    to CO
                    2
                    •−
                    requires a very high reduction potential of −1.9 V versus NHE, posing a formidable challenge. In this study, cerium‐based metal‐organic frameworks (MOFs) with linker‐induced defects, specifically Ce‐UiO‐66‐X (X = Me, H, and F), are investigated to elucidate the underlying mechanisms of photocatalytic CO
                    2
                    cycloaddition. Among them, Ce‐UiO‐66‐H, which strikes an optimal balance between light absorption and charge separation, demonstrates superior catalytic performance (yield &gt; 90%) when coupled with tetrabutylammonium bromide (TBAB) as a co‐catalyst. In‐situ experiments and theoretical calculations reveal that TBAB stabilizes CO
                    2
                    through the formation of [Br
                    −
                    ···TBA
                    +
                    ]∼CO
                    2
                    adducts, which lowers the thermodynamic energy requirement for CO
                    2
                    •−
                    generation from 0.66 eV (in the direct CO
                    2
                    ‐to‐CO
                    2
                    •−
                    route) to −0.90 eV. This potential modulation promotes efficient photoelectron transfer from the MOFs to CO
                    2
                    , substantially enhancing the overall cycloaddition efficiency.",crossref,False,,
[ASAP] Synthesizing Polymer Woven Metal–Organic Framework Glass Membranes for Exceptional Pressure-Tolerant Carbon Capture,http://dx.doi.org/10.1021/jacs.5c17503,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-31 10:27:47 UTC,2025-12-31 10:27:47+00:00,10.1021/jacs.5c17503,"Liquid-processable metal-organic framework (MOF) glasses well redefine the ideal materials for energy-efficient carbon capture membranes. However, MOF glass membranes still suffer from poor pore connectivity, inadequate porosity and severe pressure vulnerability, hindering the sustainable deployment of membrane technologies in flue gas decarbonization, natural gas valorization, etc. Herein, we report a nature-inspired molecular weaving method to synthesize a de novo pw-MOF (polymer woven MOF) glass family. During melting, the woven polymer protects against lattice deformation while undergoing a nanophase interface segregation (nano-IS) evolution, which effectively regulates the kinetic mass transfer efficiency and thermodynamic polar adsorption effect. The newly synthesized pw-MOF glass membranes contain connected subnanometer penetrating channel networks with high-density polar domains for adsorption along the polymer chains to achieve a recorded performance, exemplified by the CO2/N2 and CO2/CH4 systems, surpassing the most recent upper bound. Owing to the unique woven reinforced framework, our pw-MOF glass membranes demonstrate an unprecedented pressure tolerance of up to 7.5 atm, which has not been realized by contemporary MOF membranes, which usually malfunction at 1 atm. This nature-inspired weaving design philosophy for synthesizing unconventional materials and constructing exceptional architectures is versatile for cultivating next-generation sustainable materials.",pubmed,False,,
[ASAP] Lattice-Distortion-Driven Electron Delocalization Enables Efficient Electrosynthesis of Glycolic Acid and Terephthalic Acid from Plastic Wastes,http://dx.doi.org/10.1021/jacs.5c17861,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-31 11:33:58 UTC,2025-12-31 11:33:58+00:00,10.1021/jacs.5c17861,"Electrocatalytic upcycling of waste polyethylene terephthalate (PET) plastics into high-value-added C2 products (GA, etc.), coupled with hydrogen production, presents a promising solution to mitigate plastic pollution. However, the mechanisms by which the adsorption of key reaction intermediates affects the ethylene glycol oxidation reaction are not well understood. Herein, we synthesize two model catalysts: pristine-lattice Pd/NF (p-Pd) and lattice-distorted Pd/NiOx (l-Pd), the latter constructed by controlling the interfacial metal-support interaction. Detailed characterizations and theoretical calculations reveal that lattice distortion of Pd drives interfacial electron delocalization and generates electron-deficient Pd sites, which strongly attract OH- anions via electrostatic interaction and result in enhanced *OH adsorption on Pd. Enriched surface *OH coverage is crucial for weakening *CO-CH2OH or other carbonyl intermediate adsorption and promoting C-H bond oxidation, thereby greatly inhibiting surface poisoning and synergistically promoting GA generation. Specifically, l-Pd delivers a current density of 300 mA cm-2 at an ultralow potential of 1.03 V vs RHE, while achieving a maximum GA Faradaic efficiency of 98.3% and a selectivity of 92.8% at 0.8 V vs RHE. Under membrane electrode assembly conditions, only a cell voltage of 1.26 V is needed for l-Pd to deliver an industrial-level current density of 500 mA cm-2, while enabling continuous PET electrolysis for 204 h at 1.2 V. This study unveils new perspectives on the key role of surface-adsorbed intermediates and offers valuable insights for designing efficient catalysts for the electrochemical upcycling of PET plastics.",pubmed,False,,
Cobalt‐Bridged Polyoxoniobate Framework for High Reversibility and Capacity Retention Polysulfide Redox Flow Batteries,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202514281?af=R,Wiley: Advanced Materials: Table of Contents,2025-12-31 13:52:04 UTC,2025-12-31 13:52:04+00:00,10.1002/adma.202514281,"ABSTRACT
                  
                    In this work, we report for the first time a cobalt‐bridged polyoxoniobate framework (Co‐PONbs) featuring a 3D coordination architecture, constructed by linking {PNb
                    12
                    O
                    40
                    } clusters through the coordinatively versatile Co
                    2+
                    ions. This unique inorganic framework exhibits exceptional stability in strongly alkaline electrolytes, helping to address the challenge of catalyst degradation under operating conditions. Acting as an efficient electrocatalyst, Co‐PONbs significantly enhances the redox conversion kinetics of polysulfides in redox flow batteries. Electrochemical in situ Raman spectroscopy confirms the preferential adsorption of polysulfides on Co‐PONbs/SP‐modified electrodes. First‐principles calculations demonstrate that embedding cobalt centers in {PNb
                    12
                    O
                    40
                    } clusters generates asymmetric dual‐active sites. This unique configuration drives S─S bond cleavage in S
                    4
                    2−
                    via a cooperative electron‐transfer mechanism, kinetically promoting conversion to S
                    2
                    2−
                    intermediates. When implemented in aqueous polysulfide‐iodine redox flow batteries, the Co‐PONbs/SP composite‐modified carbon felt cathode sustains remarkable energy efficiency (82.7%) and Coulombic efficiency (99.5%) over 530 h of continuous operation. The system demonstrates unprecedented cycling stability with 99.96% capacity retention after 1500 cycles at 60 mA cm
                    −2
                    .",crossref,False,,
[ASAP] Complementary Adsorption within Metal–Organic Frameworks for Ethylene Upgrading from Refinery Dry Gas,http://dx.doi.org/10.1021/jacs.5c18112,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-31 16:03:07 UTC,2025-12-31 16:03:07+00:00,10.1021/jacs.5c18112,"Molecule-specific adsorption offers an efficient approach for target molecule purification from complex mixtures that demand a series of energy-intensive separation units. However, existing separation mechanisms that discriminate molecular sizes or functional groups are generally unable to achieve molecule-specific adsorption due to insufficiently identified molecular information. We reveal the complementary adsorption mechanism that discriminates molecules through surface electrostatic potential and molecular shape, covering more comprehensive physical and chemical molecular properties, and realizing precise molecular recognition. The constructed novel porous material ZU-501, which exhibits electrostatic potential and shape complementarity toward ethylene, first realizes ethylene-specific adsorption from typical ethylene mixtures, including C1-C4 paraffins and olefins, and carbon dioxide. The practical use potential of ZU-501 for one-step ethylene recovery from a refinery dry gas is validated by scale-up breakthrough experiments and pressure swing adsorption modeling. This work paves an important avenue for the efficient utilization of low-concentration ethylene resources from diverse scenarios.",pubmed,False,,
[ASAP] Efficient Surface to Bulk Catalysis in the Reverse Water–Gas Shift Reaction by the FeOx/Fe3C Catalyst,http://dx.doi.org/10.1021/jacs.5c17207,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-31 18:49:47 UTC,2025-12-31 18:49:47+00:00,10.1021/jacs.5c17207,"Unraveling the dynamic structural evolution and reaction mechanisms of catalysts from the surface to bulk phase is key to advancing the understanding of catalytic origins. Herein, we report that an in situ formed dynamic FeOx/Fe3C heterostructure serves as the catalytically active phase, enabling rapid carbon and oxygen atom exchange with reactants under the reverse water-gas shift (RWGS) reaction. On the disordered FeOx (1 ≤ x ≤ 1.5) surface, CO2 is dissociated into gaseous CO and surface O, while partial CO further decomposes into C that infiltrates into the Fe3C lattice. The C atoms from bulk Fe3C can combine with the O atoms on FeOx to form CO, allowing Fe3C to serve as a reservoir for C atom transfer. Meanwhile, H2 effectively removes residual surface oxygen to prevent overoxidation. The FeOx/Fe3C catalyst, enabled by synergistic surface-to-bulk cycling mechanism, achieves an unprecedented rate of 1.1 × 10-2 mol/gcat/s at 600 °C in the RWGS reaction, exceeding all previously reported catalysts. This study reveals mechanistic insight into simultaneous catalysis from the surface to the bulk in heterostructured solid catalysts, offering a new perspective on the origin of the exceptional activity of iron-based catalysts in the RWGS reaction.",pubmed,False,,
[ASAP] Tandem Photocatalytic CO2-to-C2H4 Conversion through an Intracellularly Interfaced Quantum Dot-Molecular Catalyst-Bacteria Biohybrid,http://dx.doi.org/10.1021/jacs.5c20893,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-01 12:18:18 UTC,2026-01-01 12:18:18+00:00,10.1021/jacs.5c20893,"Semiartificial photosynthetic system (SAPS) combines the strengths of microbial enzyme machinery and semiconductor light harvesters, offering a promising platform to achieve solar-driven CO2 conversion. However, existing CO2-fixing SAPSs are constrained by the limited choices of CO2-assimilating microorganisms, while the use of non-CO2-assimilating microbes in SAPS for solar-driven CO2 conversion has rarely been demonstrated. In this work, we developed an integrated nanobiohybrid by co-introducing quantum dots (QDs) and molecular catalysts (MCs) into a non-CO2-assimilating bacterium, Azotobacter vinelandii (A. vinelandii), enabling a cascade photocatalytic reduction of CO2 to C2H4 via CO intermediates. The intracellular microanaerobic environment protects the QD-MC assembly from O2 and promotes the photocatalytic CO2-to-CO conversion, while the intracellularly generated CO accelerates subsequent light-driven enzymatic synthesis of C2H4. The synergistic interactions among QD, MC, and bacteria were confirmed by fluorescent CO probing, time-resolved photoluminescence (TRPL), and in vitro control experiments. An optimized system achieved an accumulation of 7.9 μmol L-1 C2H4 over 7 days without loss of activity, showing a yield of 2.1 × 107 C2H4 per cell, surpassing the natural production by 162%. Our work introduced a novel integrated tandem biohybrid system that broadens the category of microbial organisms applied in CO2-fixing SAPS. We envision that this tandem biohybrid strategy can be extended to broader non-CO2-assimilating microbes for the production of other value-added chemicals beyond C2H4 from CO2.",pubmed,True,,
[ASAP] Geminal Cl-Bridged Dual-Fe-Atom Catalyst for Efficient and Stable Oxygen Reduction Reaction,http://dx.doi.org/10.1021/jacs.5c15456,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-01 19:59:41 UTC,2026-01-01 19:59:41+00:00,10.1021/jacs.5c15456,"Atomically dispersed iron-nitrogen-carbon (Fe-N-C) catalysts hold great promise for the oxygen reduction reaction (ORR), yet their structural instability under operational conditions restricts their practical application. In this study, we identify that electrochemical degradation of the Fe-N-C catalyst stems from a dynamic disparity between the Fe-N and Fe-O bonds during ORR, leading to pronounced Fe demetallization. Guided by this mechanistic insight, we synthesize a dual-Fe-atom catalyst featuring a well-defined N3-Fe-Cl-Fe-N3 structure. Combined theoretical and experimental results reveal that the bridging Cl atom induces charge redistribution and downshifts the Fe d-band center, thereby regulating the adsorption and activation of oxygenated intermediates. The electronic energy gained by Fe-O bonding during ORR triggers a dynamic reconfiguration of the N3-Fe-Cl-Fe-N3 moieties, which in turn reinforces structural Fe-N and Fe-Cl bonds while attenuating hyperergic Fe-O interactions. Such a dynamic process enables adaptable coordination and accelerates protonation kinetics, underscoring the cooperativity of metal coordination at dual-Fe centers and thereby ensuring electrochemical robustness. The resulting dual-Fe-atom catalyst demonstrates exceptional ORR stability with minimal Fe leaching (16.4 μg L-1 after 20000 accelerated durability cycles) and retains 88% current over 160 h of operation. This catalyst delivers over 1000 h of stable performance in a zinc-air battery with a negligible overpotential increase. These findings deepen the mechanistic understanding of Fe demetallization in the Fe-N-C catalyst under operando ORR conditions, paving the way for the rational design of robust noble-metal-free ORR electrocatalysts.",pubmed,False,,
Critical transition of urban ozone formation regime in the North China Plain,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf596/8408452?rss=1,National Science Review Advance Access,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,10.1093/nsr/nwaf596/8408452,"Over the past decade, China has achieved remarkable progress in mitigating the aerosol pollution. However, ozone (O3) pollution still shows a worsening trend, implying that China’s control measures may have been less effective in tackling O3 pollution. Herein, we conduct synchronized observations of O3 and its precursors across 37 cities in the heavily polluted North China Plain (NCP) during the summer of 2021 and apply a unified observation-based model to diagnose O3 formation mechanisms. Our results reveal a significant transition in urban O3 formation regime, shifting from primarily VOC-limited to VOC–NOx co-limited across the NCP between 2010s and 2020s. Notably, the primary VOC species, their respective sources, and the optimal VOCs/NOx reduction ratios exhibit remarkable regional consistency. Modeling analyses further indicate that long-term national “Carbon Neutrality” strategy could effectively alleviate O3 pollution, with targeted VOC emission reductions from major anthropogenic sources offering the greatest mitigation potential. These findings underscore the efficacy of China’s endeavors in mitigating O3 pollution, although the effects are not immediately evident from ambient O3 concentrations. O3 pollution control in Chinese cities has reached a critical inflection point, offering considerable flexibility and feasibility in formulating future control policies.",rss_oup,False,,
Rational design of high-performance low-loading oxygen reduction catalysts for alkaline fuel cells,https://www.nature.com/articles/s41563-025-02422-4,Nature Materials,2026-01-02 00:00:00 UTC,2026-01-02 00:00:00+00:00,,"The lack of mechanistic understanding and catalyst design principles for alkaline electrolytes, especially for the sluggish oxygen reduction reaction, has impeded the advancement of alkaline fuel cells. Here we propose a modified volcano plot and apply this rationale to strategically design Pt nanosheets with PdHx nanosheets substrates. This catalyst exhibited high stability with a specific activity of 1.71 mA cm−2 at 0.95 V versus the reversible hydrogen electrode, surpassing the benchmark of Pt/C by 49-fold. Spectroscopic, electrochemical and electron microscopic characterizations revealed that such performance enhancement originated from tensile-strained Pt{111} facets, improving oxidative stability and suppressing carbon corrosion. In fuel cell testing, the catalyst enabled a peak power density of 1.67 W cm−2 with a loading of 10 µgPGM Cathode cm−2. Further optimization delivered a peak power density of 21.7 W mg−1PGM Cathode+Anode with a total specific catalyst cost US$1.27 kW−1, surpassing the US Department of Energy’s Pt group metal loading and cost targets. This study provides valuable insights into catalyst design for the alkaline oxygen reduction reaction.",nature_html,False,,
Dynamic changes in phycosphere carbonate chemistry reveal rapid modulation of carbon uptake in single diatom cells,https://www.science.org/doi/abs/10.1126/sciadv.ady8646?af=R,AAAS: Science Advances: Table of Contents,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1126/sciadv.ady8646,"Diatoms use multiple mechanisms of dissolved inorganic carbon (DIC) uptake to maintain CO
                    2
                    supply to RuBisCO (ribulose-1,5-bisphosphate carboxylase/oxygenase), but how these different pathways are coordinated in response to rapid changes in their environment remains unclear. By measuring the dynamic changes in phycosphere carbonate chemistry around single diatom cells, we show that DIC uptake is rapidly modulated. We find that external carbonic anhydrase (eCA) plays a major role in DIC uptake in large centric diatoms at ambient seawater CO
                    2
                    , but there is a strong switch to direct HCO
                    3
                    −
                    uptake under low CO
                    2
                    . Inhibition of eCA leads to rapid activation of HCO
                    3
                    −
                    uptake, which can compensate for the loss of eCA activity under lower irradiances. These different modes of DIC uptake have distinct influences on phycosphere carbonate chemistry that may directly affect nutrient acquisition and biotic interactions. Our findings reveal that dynamic modulation of DIC uptake allows diatoms to rapidly respond to changes in CO
                    2
                    supply and demand.",crossref,False,,
Transition-metal-free electrochemical cross-electrophile coupling of activated benzyl alcohols and primary alkyl bromides,https://www.science.org/doi/abs/10.1126/sciadv.aeb3720?af=R,AAAS: Science Advances: Table of Contents,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1126/sciadv.aeb3720,"Cross-electrophile coupling (XEC) has emerged as a powerful strategy for constructing carbon─carbon bonds. Here, we report the first transition-metal-free electrochemical XEC between readily available benzyl alcohol derivatives and primary alkyl bromides, enabling the efficient construction of C(sp
                    3
                    )─C(sp
                    3
                    ) bonds to access valuable benzylic quaternary and tertiary carbon centers. This method expands the reaction profiles of both benzyl alcohols and electrochemistry. A key to unlocking this transformation is the identification of 4-
                    tert
                    -butylbenzoyl (TBBz) as an effective activating group for benzyl alcohols. This modular protocol features broad substrate scope, compatibility with CO
                    2
                    and chlorosilanes as coupling partners, and is amenable to gram-scale synthesis. The synthetic utility of this method is exemplified by the simplified synthesis of high-value commercial building blocks and advanced intermediates for bioactive compounds, as well as the facile access to bioisosteric analogs of drug molecules.",crossref,False,,
